地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>ポーランド(Poland)</TITLE>,,,,,,
ウッジ,Lodz,51.47301,19.27302,大都市,4,
クラクフ,Krakow,50.03302,19.553,大都市,4,
ブロツワフ,Wroclaw,51.05298,17.01,大都市,4,
ポズナン,Poznan,52.25001,16.53298,大都市,4,
グダンスク,Gdansk,54.21,18.38298,都市,5,
シュチェチン,Szczecin,53.253,14.32,都市,5,
ビドゴシュチ,Bydgoszcz,53.12,17.583,都市,5,
カトビツェ,Katowice,50.14298,18.59,都市,5,
ルブリン,Lublin,51.163,22.32002,都市,5,
チェンストホーバ,Czestochowa,50.49001,19.06,都市,5,
グディニャ,Gdynia,54.30299,18.313,都市,5,
ラドム,Radom,51.25001,21.08301,都市,5,
キエルツェ,Kielce,50.523,20.37001,都市,5,
トルン,Torun,53.02,18.36299,都市,5,
オルシュティン,Olsztyn,53.47002,20.27299,都市,5,
ジェシュフ,Rzeszow,50.03302,22,都市,5,
オポーレ,Opole,50.4,17.57,都市,5,
エルブロンク,Elblag,54.10001,19.25001,都市,5,
タルヌフ,Tarnow,50.01001,21.00302,都市,5,
ワルシャワ,Walszawa,52.15,21.01,巨大都市,3,
ビアウィストック,Bialystok,53.15238,23.11222,都市,5,
スウプスク,Slupsk,54.24511,17.01282,都市,5,
コシャーリン,Koszalin,54.10376,16.11024,都市,5,
ジェローナ・グーラ,Zielona Gora,51.55581,15.30058,都市,5,
レグニーツァ,Legnica,51.13239,16.10246,都市,5,
バウブジフ,Walbrzych,50.47499,16.19145,都市,5,
